neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
391,-1.423802,0.361043,-1.493339e-03,2.100219e-04,5.817088e-04,1,1
825,-1.394177,0.332807,-1.476106e-03,1.935967e-04,5.817088e-04,1,1
778,-1.379879,0.316759,-1.467788e-03,1.842614e-04,5.817088e-04,1,1
1281,-1.362352,0.299265,-1.457593e-03,1.740850e-04,5.817088e-04,1,1
696,-1.361243,0.298742,-1.456948e-03,1.737809e-04,5.817088e-04,1,1
966,-1.352439,0.288798,-1.451826e-03,1.679960e-04,5.817088e-04,1,1
1377,-1.350264,0.288729,-1.450561e-03,1.679562e-04,5.817088e-04,1,1
358,-1.340941,0.278589,-1.445138e-03,1.620579e-04,5.817088e-04,1,1
413,-1.338552,0.277415,-1.443748e-03,1.613745e-04,5.817088e-04,1,1
592,-1.294631,0.232850,-1.418199e-03,1.354506e-04,5.817088e-04,1,1
1181,-1.282809,0.222326,-1.411322e-03,1.293290e-04,5.817088e-04,1,1
675,-1.278252,0.215034,-1.408671e-03,1.250871e-04,5.817088e-04,1,1
756,-1.277095,0.215484,-1.407998e-03,1.253492e-04,5.817088e-04,1,1
1381,-1.276572,0.213724,-1.407694e-03,1.243250e-04,5.817088e-04,1,1
1171,-1.274825,0.212961,-1.406677e-03,1.238813e-04,5.817088e-04,1,1
424,-1.257852,0.196617,-1.396804e-03,1.143736e-04,5.817088e-04,1,1
767,-1.255858,0.196172,-1.395645e-03,1.141148e-04,5.817088e-04,1,1
1071,-1.236016,0.174767,-1.384102e-03,1.016637e-04,5.817088e-04,1,1
975,-1.225591,0.161417,-1.378038e-03,9.389754e-05,5.817088e-04,1,1
195,-1.220533,0.159316,-1.375095e-03,9.267539e-05,5.817088e-04,1,1
288,-1.215568,0.154261,-1.372207e-03,8.973483e-05,5.817088e-04,1,1
882,-1.211315,0.149024,-1.369733e-03,8.668885e-05,5.817088e-04,1,1
1335,-1.207517,0.145462,-1.367524e-03,8.461662e-05,5.817088e-04,1,1
359,-1.207437,0.144742,-1.367478e-03,8.419793e-05,5.817088e-04,1,1
668,-1.184695,0.119906,-1.354249e-03,6.975028e-05,5.817088e-04,1,1
1041,-1.172258,0.110399,-1.347014e-03,6.421981e-05,5.817088e-04,1,1
1130,-1.171033,0.110277,-1.346301e-03,6.414919e-05,5.817088e-04,1,1
746,-1.167444,0.106540,-1.344213e-03,6.197525e-05,5.817088e-04,1,1
881,-1.154538,0.092775,-1.336706e-03,5.396801e-05,5.817088e-04,1,1
772,-1.152990,0.092921,-1.335805e-03,5.405325e-05,5.817088e-04,1,1
1162,-1.149744,0.086862,-1.333917e-03,5.052834e-05,5.817088e-04,1,1
82,-1.144262,0.085625,-1.330728e-03,4.980855e-05,5.817088e-04,1,1
1483,-1.125612,0.064395,-1.319879e-03,3.745887e-05,5.817088e-04,1,1
1287,-1.115300,0.055610,-1.313880e-03,3.234889e-05,5.817088e-04,1,1
276,-1.110494,0.050400,-1.311085e-03,2.931819e-05,5.817088e-04,1,1
580,-1.102186,0.042452,-1.306252e-03,2.469480e-05,5.817088e-04,1,1
1327,-1.081493,0.021359,-1.294214e-03,1.242492e-05,5.817088e-04,1,1
597,-1.080625,0.019202,-1.293710e-03,1.116972e-05,5.817088e-04,1,1
34,-1.052090,-0.005703,-1.277111e-03,-3.317210e-06,5.817088e-04,0,1
1039,-1.051992,-0.005380,-1.277054e-03,-3.129562e-06,5.817088e-04,0,1
783,-1.046232,-0.011782,-1.273703e-03,-6.853443e-06,5.817088e-04,0,1
1225,-1.018805,-0.039714,-1.257749e-03,-2.310219e-05,5.817088e-04,1,1
1476,-1.011063,-0.047142,-1.253245e-03,-2.742307e-05,5.817088e-04,1,1
893,-1.000000,-0.060631,-1.246810e-03,-3.526953e-05,5.817088e-04,1,1
74,-0.999196,-0.139736,-1.245846e-03,-1.673792e-04,1.197822e-03,1,0
708,-0.998877,-0.142199,-1.245465e-03,-1.703292e-04,1.197822e-03,1,0
1487,-0.998662,-0.134123,-1.245207e-03,-1.606560e-04,1.197822e-03,1,0
429,-0.998649,-0.136823,-1.245192e-03,-1.638899e-04,1.197822e-03,1,0
531,-0.998580,-0.133275,-1.245109e-03,-1.596398e-04,1.197822e-03,1,0
267,-0.998390,-0.132204,-1.244881e-03,-1.583574e-04,1.197822e-03,1,0
482,-0.998334,-0.123606,-1.244814e-03,-1.480585e-04,1.197822e-03,1,0
347,-0.998315,-0.133548,-1.244791e-03,-1.599673e-04,1.197822e-03,1,0
921,-0.998059,-0.125399,-1.244484e-03,-1.502054e-04,1.197822e-03,1,0
481,-0.998001,-0.124624,-1.244415e-03,-1.492776e-04,1.197822e-03,1,0
1151,-0.997841,-0.082244,-1.244224e-03,-9.851326e-05,1.197822e-03,1,0
1073,-0.997839,-0.132373,-1.244221e-03,-1.585591e-04,1.197822e-03,1,0
969,-0.997791,-0.133735,-1.244163e-03,-1.601904e-04,1.197822e-03,1,0
485,-0.997777,-0.103939,-1.244147e-03,-1.245007e-04,1.197822e-03,1,0
33,-0.997707,-0.105966,-1.244063e-03,-1.269282e-04,1.197822e-03,1,0
1003,-0.997670,-0.123170,-1.244019e-03,-1.475354e-04,1.197822e-03,1,0
626,-0.997620,-0.128912,-1.243958e-03,-1.544133e-04,1.197822e-03,1,0
461,-0.997619,-0.076639,-1.243957e-03,-9.180024e-05,1.197822e-03,1,0
749,-0.997589,-0.083853,-1.243922e-03,-1.004410e-04,1.197822e-03,1,0
246,-0.997555,-0.112040,-1.243881e-03,-1.342038e-04,1.197822e-03,1,0
1446,-0.997552,-0.109241,-1.243877e-03,-1.308514e-04,1.197822e-03,1,0
295,-0.997450,-0.125421,-1.243755e-03,-1.502323e-04,1.197822e-03,1,0
144,-0.997365,-0.081129,-1.243653e-03,-9.717828e-05,1.197822e-03,1,0
901,-0.997326,-0.121254,-1.243607e-03,-1.452406e-04,1.197822e-03,1,0
477,-0.997276,-0.081783,-1.243547e-03,-9.796125e-05,1.197822e-03,1,0
741,-0.997168,-0.130278,-1.243417e-03,-1.560493e-04,1.197822e-03,1,0
305,-0.997164,-0.106598,-1.243412e-03,-1.276853e-04,1.197822e-03,1,0
922,-0.997142,-0.108364,-1.243387e-03,-1.298010e-04,1.197822e-03,1,0
1473,-0.997142,-0.114191,-1.243386e-03,-1.367802e-04,1.197822e-03,1,0
1050,-0.997042,-0.124265,-1.243266e-03,-1.488475e-04,1.197822e-03,1,0
