target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
poly_k3,50,200,3,29,2.525500e-02,13.974789,3.529333e-01,4.077008e-04,1,0.001155,1.848764e-02,1.846558e-02
poly_k3,50,500,3,29,2.693700e-02,14.603344,3.933703e-01,2.579446e-03,1,0.006557,7.793087e-03,6.977148e-03
poly_k3,50,1000,3,30,3.037000e-02,14.874794,4.517475e-01,5.113966e-04,1,0.001132,3.698281e-03,3.643836e-03
poly_k3,100,200,3,41,8.922400e-02,15.237454,1.359547e+00,3.180097e-03,1,0.002339,1.736109e-02,1.690018e-02
poly_k3,100,500,3,45,4.091800e-02,15.696137,6.422545e-01,5.434980e-04,1,0.000846,8.762099e-03,8.659552e-03
poly_k3,100,1000,3,46,4.714500e-02,15.940169,7.514993e-01,9.260507e-04,1,0.001232,5.198730e-03,5.019360e-03
poly_k3,250,200,3,37,1.324120e-01,18.705046,2.476773e+00,6.569146e-03,1,0.002652,1.290945e-02,1.144264e-02
poly_k3,250,500,3,35,2.304510e-01,19.103262,4.402366e+00,3.145640e-02,1,0.007145,3.135505e-02,4.780474e-03
poly_k3,250,1000,3,33,2.312400e-01,19.224793,4.445541e+00,2.797428e-02,1,0.006293,2.787602e-02,2.874627e-03
poly_k3,500,200,3,20,1.202311e+00,20.506203,2.465483e+01,6.365547e-01,1,0.025819,6.352245e-01,1.261477e-02
poly_k3,500,500,3,20,1.202984e+00,20.628758,2.481607e+01,5.990665e-01,1,0.024140,5.985586e-01,5.129157e-03
poly_k3,500,1000,3,19,1.202571e+00,20.701700,2.489526e+01,6.059047e-01,1,0.024338,6.057169e-01,2.814878e-03
poly_k3,1000,200,3,12,1.918391e+00,23.921317,4.589044e+01,3.009317e+00,1,0.065576,3.007856e+00,1.325207e-02
poly_k3,1000,500,3,11,1.929740e+00,23.913960,4.614773e+01,3.326299e+00,1,0.072079,3.325203e+00,4.959247e-03
poly_k3,1000,1000,3,12,1.909131e+00,23.914922,4.565672e+01,3.638743e+00,1,0.079698,3.637867e+00,2.591276e-03
poly_k3,1500,200,3,7,2.016596e+00,30.430261,6.136554e+01,8.819485e+00,1,0.143720,8.820190e+00,1.390172e-02
poly_k3,1500,500,3,8,2.015319e+00,30.470296,6.140737e+01,9.054406e+00,1,0.147448,9.056587e+00,5.562911e-03
poly_k3,1500,1000,3,8,2.014921e+00,30.445620,6.134552e+01,9.105418e+00,1,0.148428,9.106882e+00,2.967689e-03
sin_1pi,50,200,1,32,2.716500e-02,13.706655,3.723413e-01,3.624972e-03,1,0.009736,1.791559e-02,1.773695e-02
sin_1pi,50,500,1,31,6.017600e-02,14.419577,8.677125e-01,1.451078e-02,1,0.016723,1.648400e-02,8.560206e-03
