target,m,T,k_true,n_clusters,n_active,loss,max_da,max_db,active_leq_k
poly_k3,50,200,3,29,47,0.00017048908039943455,0.0006192204137361005,0.0004942679382695469,0
poly_k3,50,500,3,29,47,2.433857272483964e-05,0.003880997226075968,0.0016593838661919773,0
poly_k3,50,1000,3,30,47,6.640155115893238e-06,0.0011998461436677089,0.0005136948937934516,0
poly_k3,100,200,3,41,84,0.0001428072331061617,0.0014252577243499148,0.0004102543485456676,0
poly_k3,100,500,3,45,87,3.749461651510098e-05,0.001380047145956753,0.00046037757931717495,0
poly_k3,100,1000,3,46,89,1.2596972225477169e-05,0.005297314853853382,0.0018262405968973658,0
poly_k3,250,200,3,37,157,6.546395523494132e-05,0.0015265038304739839,0.00038088975258224016,0
poly_k3,250,500,3,35,159,1.1431647647501104e-05,0.0013896679242296065,0.00041555267916227706,0
poly_k3,250,1000,3,33,155,4.130083299352075e-06,0.00070692819032718,0.00021389142188930812,0
poly_k3,500,200,3,20,143,7.955631863423469e-05,0.0037278820302884645,0.0009659351467664635,0
poly_k3,500,500,3,20,137,1.315273285681782e-05,0.0014185102943717136,0.00039632316005527277,0
poly_k3,500,1000,3,19,135,3.963431821867457e-06,0.0005728239293255463,0.00016206185768416985,0
poly_k3,1000,200,3,12,143,8.783361474915459e-05,0.003399930498916615,0.0008191941213116813,0
poly_k3,1000,500,3,11,133,1.2288801577723671e-05,0.0025671148610090524,0.0006892517470313394,0
poly_k3,1000,1000,3,12,126,3.36487676927213e-06,0.0020981551045265207,0.0005730436578580834,0
poly_k3,1500,200,3,7,335,9.661791045053877e-05,0.001493338649842179,0.00023271522210110962,0
poly_k3,1500,500,3,8,310,1.5470128058153158e-05,0.005222765720326655,0.001031463467428001,0
poly_k3,1500,1000,3,8,300,4.407997207595542e-06,0.0035203204244999304,0.0007032545682152978,0
sin_1pi,50,200,1,32,47,0.00015729973616585764,0.0011190988215458622,0.0006803751429597747,0
sin_1pi,50,500,1,31,48,3.663856697092031e-05,0.00038908612357854705,0.00022464045613613498,0
