neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
6,-1.847983,0.737108,-2.533214e-03,1.381815e-03,1.874643e-03,1,0
2,-0.854604,-1.010178,-2.444044e-03,-1.955805e-03,1.936100e-03,1,0
11,-0.854604,-1.022536,-2.444044e-03,-1.979731e-03,1.936100e-03,1,0
13,-0.854603,-0.914412,-2.444042e-03,-1.770393e-03,1.936100e-03,1,0
33,-0.854601,-0.947884,-2.444039e-03,-1.835197e-03,1.936100e-03,1,0
34,-0.854601,-0.964462,-2.444038e-03,-1.867295e-03,1.936100e-03,1,0
32,-0.854599,-0.957460,-2.444035e-03,-1.853738e-03,1.936100e-03,1,0
17,-0.854599,-1.017875,-2.444034e-03,-1.970707e-03,1.936100e-03,1,0
43,-0.854596,-1.018628,-2.444029e-03,-1.972165e-03,1.936100e-03,1,0
24,-0.633574,2.081994,7.373397e-04,2.937948e-03,1.411122e-03,1,0
39,-0.633548,2.176382,7.373771e-04,3.071141e-03,1.411122e-03,1,0
0,-0.633528,2.250048,7.374043e-04,3.175092e-03,1.411122e-03,1,0
42,-0.633528,2.250155,7.374047e-04,3.175243e-03,1.411122e-03,1,0
45,-0.633523,2.269100,7.374114e-04,3.201977e-03,1.411122e-03,1,0
5,-0.633519,2.285892,7.374180e-04,3.225672e-03,1.411122e-03,1,0
12,-0.383408,-1.786768,-3.415318e-03,-3.531185e-03,1.976297e-03,1,0
16,-0.383404,-1.914531,-3.415310e-03,-3.783682e-03,1.976297e-03,1,0
36,-0.383402,-1.910314,-3.415305e-03,-3.775349e-03,1.976297e-03,1,0
44,-0.383397,-1.915101,-3.415297e-03,-3.784809e-03,1.976297e-03,1,0
18,-0.383390,-1.921519,-3.415283e-03,-3.797493e-03,1.976297e-03,1,0
19,-0.383390,-1.923149,-3.415283e-03,-3.800713e-03,1.976297e-03,1,0
29,-0.130293,2.368343,2.908231e-03,2.772890e-03,1.170814e-03,1,0
23,-0.129982,2.452205,2.908594e-03,2.871077e-03,1.170814e-03,1,0
40,-0.129788,2.505180,2.908822e-03,2.933100e-03,1.170814e-03,1,0
31,-0.129702,2.528245,2.908922e-03,2.960105e-03,1.170814e-03,1,0
15,0.132929,-2.517191,-4.104803e-03,-3.745485e-03,1.487962e-03,1,0
30,0.132946,-2.578570,-4.104777e-03,-3.836815e-03,1.487962e-03,1,0
27,0.132948,-2.610801,-4.104773e-03,-3.884773e-03,1.487962e-03,1,0
37,0.132953,-2.559142,-4.104766e-03,-3.807907e-03,1.487962e-03,1,0
8,0.390331,1.990053,1.597910e-03,1.394931e-03,7.009520e-04,1,1
25,0.390355,1.975798,1.597928e-03,1.384940e-03,7.009520e-04,1,1
21,0.390471,1.894243,1.598009e-03,1.327773e-03,7.009520e-04,1,1
48,0.390503,1.875882,1.598031e-03,1.314903e-03,7.009520e-04,1,1
20,0.390527,1.876567,1.598048e-03,1.315384e-03,7.009520e-04,1,1
35,0.390737,1.755535,1.598195e-03,1.230546e-03,7.009520e-04,1,1
9,0.390913,1.653513,1.598319e-03,1.159033e-03,7.009520e-04,1,1
1,0.614031,-1.141050,-8.475603e-04,-4.934472e-04,4.324500e-04,1,1
4,0.614031,-1.113382,-8.475603e-04,-4.814821e-04,4.324500e-04,1,1
49,0.614031,-1.120074,-8.475603e-04,-4.843759e-04,4.324500e-04,1,1
26,0.614031,-1.105296,-8.475603e-04,-4.779854e-04,4.324500e-04,1,1
10,0.614031,-1.114926,-8.475602e-04,-4.821499e-04,4.324500e-04,1,1
14,0.614031,-1.132273,-8.475601e-04,-4.896513e-04,4.324500e-04,1,1
47,0.614031,-1.130957,-8.475601e-04,-4.890824e-04,4.324500e-04,1,1
7,0.614031,-1.135132,-8.475601e-04,-4.908880e-04,4.324500e-04,1,1
28,0.614032,-1.116298,-8.475601e-04,-4.827431e-04,4.324500e-04,1,1
22,0.614032,-1.050964,-8.475601e-04,-4.544892e-04,4.324500e-04,1,1
41,0.614032,-1.068916,-8.475601e-04,-4.622525e-04,4.324500e-04,1,1
38,0.614032,-0.988186,-8.475600e-04,-4.273409e-04,4.324500e-04,1,1
3,0.839615,1.404635,3.191908e-03,-6.221963e-05,-4.429594e-05,1,1
46,0.839616,1.447383,3.191908e-03,-6.411320e-05,-4.429594e-05,1,1
