neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
163,-1.629337,-0.543360,3.468421e-04,5.968336e-05,-1.098412e-04,1,1
182,-1.450638,-0.365685,3.272136e-04,4.016730e-05,-1.098412e-04,1,1
240,-1.421429,-0.336354,3.240052e-04,3.694558e-05,-1.098412e-04,1,1
287,-1.314296,-0.228436,3.122377e-04,2.509164e-05,-1.098412e-04,1,1
415,-1.297315,-0.212934,3.103724e-04,2.338895e-05,-1.098412e-04,1,1
136,-1.295333,-0.211003,3.101547e-04,2.317683e-05,-1.098412e-04,1,1
267,-1.259716,-0.176384,3.062425e-04,1.937421e-05,-1.098412e-04,1,1
224,-1.222889,-0.138768,3.021974e-04,1.524240e-05,-1.098412e-04,1,1
278,-1.195706,-0.111197,2.992116e-04,1.221406e-05,-1.098412e-04,1,1
389,-1.123642,-0.040691,2.912960e-04,4.469592e-06,-1.098412e-04,1,1
216,-1.121073,-0.038417,2.910138e-04,4.219785e-06,-1.098412e-04,1,1
391,-1.085042,-0.001217,2.870562e-04,1.336903e-07,-1.098412e-04,0,1
299,-1.000000,0.168801,2.777150e-04,-1.854129e-05,-1.098412e-04,1,1
201,-1.000000,0.169160,2.777150e-04,-1.858074e-05,-1.098412e-04,1,1
474,-1.000000,0.168575,2.777150e-04,-1.851648e-05,-1.098412e-04,1,1
106,-1.000000,0.167530,2.777150e-04,-1.840175e-05,-1.098412e-04,1,1
64,-1.000000,0.172024,2.777150e-04,-1.889528e-05,-1.098412e-04,1,1
372,-1.000000,0.167547,2.777150e-04,-1.840357e-05,-1.098412e-04,1,1
220,-1.000000,0.159374,2.777150e-04,-1.750583e-05,-1.098412e-04,1,1
43,-1.000000,0.160806,2.777150e-04,-1.766315e-05,-1.098412e-04,1,1
160,-1.000000,0.153798,2.777150e-04,-1.689337e-05,-1.098412e-04,1,1
380,-1.000000,0.151459,2.777150e-04,-1.663648e-05,-1.098412e-04,1,1
319,-1.000000,0.162604,2.777150e-04,-1.786063e-05,-1.098412e-04,1,1
198,-1.000000,0.146804,2.777150e-04,-1.612512e-05,-1.098412e-04,1,1
192,-1.000000,0.163608,2.777150e-04,-1.797090e-05,-1.098412e-04,1,1
361,-1.000000,0.163229,2.777150e-04,-1.792926e-05,-1.098412e-04,1,1
46,-1.000000,0.157621,2.777150e-04,-1.731329e-05,-1.098412e-04,1,1
355,-1.000000,0.137096,2.777150e-04,-1.505884e-05,-1.098412e-04,1,1
243,-1.000000,0.122790,2.777150e-04,-1.348740e-05,-1.098412e-04,1,1
376,-1.000000,0.162462,2.777150e-04,-1.784507e-05,-1.098412e-04,1,1
414,-1.000000,0.160307,2.777150e-04,-1.760831e-05,-1.098412e-04,1,1
316,-1.000000,0.141825,2.777150e-04,-1.557824e-05,-1.098412e-04,1,1
477,-0.999982,0.154744,2.777090e-04,-5.251819e-05,-3.393877e-04,1,1
442,-0.999855,0.141242,2.776658e-04,-4.793569e-05,-3.393877e-04,1,1
302,-0.998925,0.149845,2.773500e-04,-5.085572e-05,-3.393877e-04,1,1
325,-0.997140,0.131868,2.767444e-04,-4.475437e-05,-3.393877e-04,1,1
423,-0.996714,0.137124,2.765996e-04,-4.653814e-05,-3.393877e-04,1,1
241,-0.995262,0.125260,2.761071e-04,-4.251170e-05,-3.393877e-04,1,1
14,-0.990682,0.107413,2.737495e-04,-5.649018e-05,-5.259135e-04,1,1
468,-0.989703,0.109406,2.731931e-04,-7.424302e-05,-6.785989e-04,1,1
188,-0.989570,0.108093,2.731029e-04,-7.335173e-05,-6.785989e-04,1,1
337,-0.978485,0.093035,2.646078e-04,-8.448036e-05,-9.080487e-04,1,1
6,-0.977784,0.098473,2.639712e-04,-8.941832e-05,-9.080487e-04,1,1
458,-0.973208,0.086052,2.596750e-04,-8.516801e-05,-9.897260e-04,1,1
225,-0.940578,0.061860,2.232534e-04,-7.190899e-05,-1.162439e-03,1,0
230,-0.904170,0.027719,1.858654e-04,-2.229810e-05,-8.044278e-04,1,1
409,-0.862499,0.006532,1.645352e-04,-1.125976e-06,-1.723757e-04,0,1
112,-0.849505,-0.003497,1.635088e-04,-2.069293e-07,5.916660e-05,0,1
324,-0.848404,-0.010849,1.635740e-04,-6.419004e-07,5.916660e-05,0,1
151,-0.841932,-0.005990,1.641481e-04,-7.818807e-07,1.305213e-04,0,1
36,-0.831350,-0.012305,1.662927e-04,-3.218954e-06,2.615907e-04,0,1
18,-0.826519,-0.022669,1.677353e-04,-7.259331e-06,3.202302e-04,0,1
280,-0.818225,-0.018925,1.707957e-04,-7.991992e-06,4.223075e-04,0,1
92,-0.812168,-0.027816,1.734553e-04,-1.293982e-05,4.651999e-04,1,1
375,-0.800961,-0.032651,1.790986e-04,-1.742861e-05,5.337775e-04,1,1
154,-0.796636,-0.024689,1.814788e-04,-1.379655e-05,5.588126e-04,0,1
60,-0.792734,-0.032530,1.836928e-04,-1.879597e-05,5.777988e-04,1,1
114,-0.785663,-0.031367,1.878289e-04,-1.853885e-05,5.910215e-04,1,1
461,-0.781327,-0.029903,1.904143e-04,-1.789281e-05,5.983588e-04,1,1
45,-0.767198,-0.038341,1.988385e-04,-2.246161e-05,5.858433e-04,1,1
288,-0.763196,-0.028745,2.011625e-04,-1.636213e-05,5.692169e-04,1,1
339,-0.761896,-0.036922,2.019026e-04,-2.101635e-05,5.692169e-04,1,1
272,-0.759091,-0.020327,2.034926e-04,-1.112080e-05,5.471024e-04,0,1
96,-0.757365,-0.028547,2.044366e-04,-1.561808e-05,5.471024e-04,1,1
68,-0.756246,-0.027898,2.050489e-04,-1.526281e-05,5.471024e-04,1,1
